batch_rank	thread_id	pr_number	pr_title	pr_created_at	pr_merged_at	thread_created_at	is_outdated	review_path	line	original_line	review_authors	comment_count	first_comment_url	first_comment_sha256
13	PRRT_kwDOR3YK5M6TxcMt	1198	docs: add the headless hardware-GL runner and state the text rule as emoji-free	2026-07-25T17:24:13Z	2026-07-25T17:25:14Z	2026-07-25T17:32:15Z	false	headless-hardware-gl-runner.md	6	6	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1198#discussion_r3650643199	116dfaff1339101d2fe2e597a203ef63495e879790c08aad97286908f6942297
14	PRRT_kwDOR3YK5M6Ty_L1	1199	Gate the AMD Vulkan driver source roots against leaf drift	2026-07-25T17:40:53Z	2026-07-25T22:40:43Z	2026-07-25T22:45:17Z	false	build-infra/scripts/driver_root_audit.py	94	94	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1199#discussion_r3651204022	da2c44ce49737d71af1f5753ee4d2a8ca5efeb5cf302ba9317bb0456709ed7d2
15	PRRT_kwDOR3YK5M6Ty_L2	1199	Gate the AMD Vulkan driver source roots against leaf drift	2026-07-25T17:40:53Z	2026-07-25T22:40:43Z	2026-07-25T22:45:17Z	false	build-infra/scripts/driver_root_audit.py	117	117	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1199#discussion_r3651204023	8a9581f7b19a884449ab8384024caeb7312771dbfd4108386b8ad3f190c50b0c
16	PRRT_kwDOR3YK5M6Ty_L3	1199	Gate the AMD Vulkan driver source roots against leaf drift	2026-07-25T17:40:53Z	2026-07-25T22:40:43Z	2026-07-25T22:45:18Z	false	build-infra/scripts/driver_root_audit.py	55	55	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1199#discussion_r3651204024	61998f12150dfea0691734359b806b17a037038a81d20de3a467b22b213dc68a
17	PRRT_kwDOR3YK5M6TzUAO	1200	docs: reconcile the HBTCL ledger to landed status	2026-07-25T23:59:55Z	2026-07-26T00:57:37Z	2026-07-26T00:04:27Z	false	docs/hardware/rs482-hybrid-vertex-tcl-design.md	632	632	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1200#discussion_r3651320800	9c3a611f15b22ace41b86de487a3977fe26b24abeb0a1d07c1f7070290a6dd61
18	PRRT_kwDOR3YK5M6TzUAP	1200	docs: reconcile the HBTCL ledger to landed status	2026-07-25T23:59:55Z	2026-07-26T00:57:37Z	2026-07-26T00:04:27Z	false	docs/hardware/rs482-hybrid-vertex-tcl-design.md	605	605	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1200#discussion_r3651320801	b5f55a9cb8fbd969007f099afbc75faa1bf37facc565e32729a76cdbe4ba16f1
19	PRRT_kwDOR3YK5M6TzUAQ	1200	docs: reconcile the HBTCL ledger to landed status	2026-07-25T23:59:55Z	2026-07-26T00:57:37Z	2026-07-26T00:04:27Z	false	docs/hardware/rs482-hybrid-vertex-tcl-design.md	602	602	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1200#discussion_r3651320802	26a38c4f63924300a11cf43fd0b32fad3f6a756673ca3d5cab3225e3c498e917
20	PRRT_kwDOR3YK5M6T0Eow	1201	vl/h264: bound the CAVLC residual block against its own array capacity	2026-07-26T01:12:56Z	2026-07-26T02:54:16Z	2026-07-26T02:54:34Z	false	src/gallium/auxiliary/vl/tests/vl_h264_cavlc_block_test.c	15	15	coderabbitai	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1201#discussion_r3651607372	b8cc7b3ccf2a4b36f101b85563f4e326a4f0c7063601520efb5a7ec7825fd8db
21	PRRT_kwDOR3YK5M6T0Eoz	1201	vl/h264: bound the CAVLC residual block against its own array capacity	2026-07-26T01:12:56Z	2026-07-26T02:54:16Z	2026-07-26T02:54:34Z	false	src/gallium/auxiliary/vl/vl_h264_cavlc.c	223	223	coderabbitai	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1201#discussion_r3651607375	67588bfe577c2251b76e45cb20ac3ebf984fa49648afdfd7809e1b82aec459ca
22	PRRT_kwDOR3YK5M6VAnci	1204	docs: define owned-origin publication and RS482 source authority	2026-07-30T06:08:01Z	2026-07-30T06:36:10Z	2026-07-30T06:39:56Z	false	docs/hardware/rs482-stack-manifest.schema.json	250	250	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1204#discussion_r3680541084	62d4f2a727412d52ae34b2d55682ab35badc86c2495e3452d01cc338a9680458
23	PRRT_kwDOR3YK5M6VAnck	1204	docs: define owned-origin publication and RS482 source authority	2026-07-30T06:08:01Z	2026-07-30T06:36:10Z	2026-07-30T06:39:56Z	false	docs/hardware/tests/test_rs482_stack_manifest_schema.py	11	11	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1204#discussion_r3680541087	a9b707ab9fbdd797aec1d9f1541249d5ec647e51b48a8981a6939636de33cda1
24	PRRT_kwDOR3YK5M6VAncm	1204	docs: define owned-origin publication and RS482 source authority	2026-07-30T06:08:01Z	2026-07-30T06:36:10Z	2026-07-30T06:39:56Z	false	docs/hardware/rs482-stack-manifest.schema.json	18	18	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1204#discussion_r3680541089	c8ba951d51866278f54816642086323a394f87d4b4ab6e93880fc214e66f083c
25	PRRT_kwDOR3YK5M6VIJld	1206	build-infra: select immutable external Mesa source roots	2026-07-30T09:48:38Z	2026-08-02T04:42:37Z	2026-07-30T14:09:43Z	false	build-infra/tests/mount_boundary_calibration.py	511	507	coderabbitai	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1206#discussion_r3683384312	afd803a25ee23a267c4bbbece4e8aa18e57ba086cce201da67c770c6ed5699dd
26	PRRT_kwDOR3YK5M6VINuf	1206	build-infra: select immutable external Mesa source roots	2026-07-30T09:48:38Z	2026-08-02T04:42:37Z	2026-07-30T14:12:51Z	false	build-infra/tests/test_source_root_control.py	405	328	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1206#discussion_r3683408755	df7c07aff80cb1e261b2da2dab95e3b856fce98251957df488186210697068f3
27	PRRT_kwDOR3YK5M6VINun	1206	build-infra: select immutable external Mesa source roots	2026-07-30T09:48:38Z	2026-08-02T04:42:37Z	2026-07-30T14:12:51Z	false	build-infra/scripts/source_root_control.py	246	211	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1206#discussion_r3683408766	5afb4077ebaf16df127c3e7d29cbce01e1cfd5f25f9afcb9682749f18afd979c
28	PRRT_kwDOR3YK5M6VINus	1206	build-infra: select immutable external Mesa source roots	2026-07-30T09:48:38Z	2026-08-02T04:42:37Z	2026-07-30T14:12:51Z	false	build-infra/scripts/source_root_control.py	1428	1093	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1206#discussion_r3683408775	9358be0b5b5a264da4bfdd565d84096ba70355cff9070d80887d41bbd116e467
29	PRRT_kwDOR3YK5M6Vtysx	1214	draw: name direct-NIR executor decline reasons and add the forced-bridge control	2026-08-02T04:24:14Z	2026-08-02T04:24:23Z	2026-08-02T04:25:35Z	false	src/gallium/auxiliary/draw/draw_vs_nir.c	729	729	sourcery-ai	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1214#discussion_r3697795183	347a524fe9a222228219c5475fcd9852fa1d21b30c136db830cf392fbc4261af
30	PRRT_kwDOR3YK5M6Vty4O	1213	docs: state the closed-up em-dash substitute convention	2026-08-02T04:21:13Z	2026-08-02T04:21:20Z	2026-08-02T04:26:00Z	false	CLAUDE.md	21	21	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1213#discussion_r3697796401	a745cb77d8e276d962eeb7eb144d36233481786938a64e6089a12991beb4da02
